applicant_index,original_sex_code,original_sex_group,original_group,flipped_sex_code,flipped_sex_group,flipped_group,actual_default,original_probability,flipped_probability,absolute_probability_change,baseline_decision_changed,recall_policy_decision_changed
247,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.0794526,0.0794526,0.0,False,False
248,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.13323326,0.13323326,0.0,False,False
249,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.12236109,0.12236109,0.0,False,False
250,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.44780055,0.44780055,0.0,False,False
253,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.047346577,0.047346577,0.0,False,False
255,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.14690676,0.14690676,0.0,False,False
260,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.027660951,0.027660951,0.0,False,False
261,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.13512208,0.13512208,0.0,False,False
262,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.21792783,0.21792783,0.0,False,False
263,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.09844344,0.09844344,0.0,False,False
265,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.17297463,0.17297463,0.0,False,False
266,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.3709983,0.3709983,0.0,False,False
277,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.25155914,0.25155914,0.0,False,False
279,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.05137947,0.05137947,0.0,False,False
294,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.22151695,0.22151695,0.0,False,False
304,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11869206,0.11869206,0.0,False,False
305,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11101357,0.11101357,0.0,False,False
306,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06062396,0.06062396,0.0,False,False
309,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.05225379,0.05225379,0.0,False,False
313,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.30625275,0.30625275,0.0,False,False
315,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.12552588,0.12552588,0.0,False,False
326,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.4540987,0.4540987,0.0,False,False
327,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.75965226,0.75965226,0.0,False,False
337,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.19928347,0.19928347,0.0,False,False
338,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.1569094,0.1569094,0.0,False,False
351,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.14775504,0.14775504,0.0,False,False
354,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.73430556,0.73430556,0.0,False,False
361,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.051306687,0.051306687,0.0,False,False
367,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.54704916,0.54704916,0.0,False,False
368,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.3594037,0.3594037,0.0,False,False
379,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.08826878,0.08826878,0.0,False,False
385,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06132854,0.06132854,0.0,False,False
387,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.31388348,0.31388348,0.0,False,False
391,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.06386859,0.06386859,0.0,False,False
395,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.10650763,0.10650763,0.0,False,False
396,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.09795348,0.09795348,0.0,False,False
411,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.23671319,0.23671319,0.0,False,False
431,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.16070816,0.16070816,0.0,False,False
435,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.588531,0.588531,0.0,False,False
441,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.21597764,0.21597764,0.0,False,False
443,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.049480956,0.049480956,0.0,False,False
446,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.095219016,0.095219016,0.0,False,False
448,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.03046325,0.03046325,0.0,False,False
461,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.09022622,0.09022622,0.0,False,False
469,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11596198,0.11596198,0.0,False,False
474,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.13250872,0.13250872,0.0,False,False
476,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.15658934,0.15658934,0.0,False,False
477,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.25145417,0.25145417,0.0,False,False
487,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.059577126,0.059577126,0.0,False,False
499,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.32517177,0.32517177,0.0,False,False
501,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.5163269,0.5163269,0.0,False,False
505,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.25458258,0.25458258,0.0,False,False
507,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.1500396,0.1500396,0.0,False,False
508,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.24387325,0.24387325,0.0,False,False
523,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.083591945,0.083591945,0.0,False,False
524,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.048148647,0.048148647,0.0,False,False
526,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.46002847,0.46002847,0.0,False,False
533,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.7378987,0.7378987,0.0,False,False
535,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.1351683,0.1351683,0.0,False,False
540,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.2175218,0.2175218,0.0,False,False
543,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07402892,0.07402892,0.0,False,False
564,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.7103808,0.7103808,0.0,False,False
570,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.09884288,0.09884288,0.0,False,False
571,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.15472378,0.15472378,0.0,False,False
577,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.19689423,0.19689423,0.0,False,False
580,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.26626986,0.26626986,0.0,False,False
587,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.14763345,0.14763345,0.0,False,False
592,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.15063761,0.15063761,0.0,False,False
599,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.15289651,0.15289651,0.0,False,False
612,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.18239877,0.18239877,0.0,False,False
618,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.1442008,0.1442008,0.0,False,False
625,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.3466194,0.3466194,0.0,False,False
626,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.12416801,0.12416801,0.0,False,False
629,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07928617,0.07928617,0.0,False,False
639,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.049716283,0.049716283,0.0,False,False
641,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.13107917,0.13107917,0.0,False,False
645,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.24308284,0.24308284,0.0,False,False
653,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.15320976,0.15320976,0.0,False,False
654,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.24139845,0.24139845,0.0,False,False
655,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.085844904,0.085844904,0.0,False,False
665,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.15073048,0.15073048,0.0,False,False
668,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.484778,0.484778,0.0,False,False
669,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.78567356,0.78567356,0.0,False,False
670,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.58015144,0.58015144,0.0,False,False
673,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.8546631,0.8546631,0.0,False,False
678,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11133256,0.11133256,0.0,False,False
689,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.10788217,0.10788217,0.0,False,False
691,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.3935023,0.3935023,0.0,False,False
696,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.103769176,0.103769176,0.0,False,False
702,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.2601236,0.2601236,0.0,False,False
705,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.098875165,0.098875165,0.0,False,False
706,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.35632837,0.35632837,0.0,False,False
711,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.17777246,0.17777246,0.0,False,False
714,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.14241773,0.14241773,0.0,False,False
726,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06409403,0.06409403,0.0,False,False
727,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.1569837,0.1569837,0.0,False,False
728,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.03985064,0.03985064,0.0,False,False
730,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.14015198,0.14015198,0.0,False,False
746,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.09789456,0.09789456,0.0,False,False
749,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.5901862,0.5901862,0.0,False,False
756,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06194285,0.06194285,0.0,False,False
760,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.44568855,0.44568855,0.0,False,False
762,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.075669274,0.075669274,0.0,False,False
777,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.2543779,0.2543779,0.0,False,False
780,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.2770988,0.2770988,0.0,False,False
784,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.1512135,0.1512135,0.0,False,False
788,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.10610164,0.10610164,0.0,False,False
797,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.12763563,0.12763563,0.0,False,False
798,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.7591109,0.7591109,0.0,False,False
799,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06347944,0.06347944,0.0,False,False
802,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.13356538,0.13356538,0.0,False,False
804,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.091872305,0.091872305,0.0,False,False
818,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.122562684,0.122562684,0.0,False,False
824,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.10905576,0.10905576,0.0,False,False
825,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.20631857,0.20631857,0.0,False,False
838,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.03269534,0.03269534,0.0,False,False
841,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.0549836,0.0549836,0.0,False,False
845,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11725208,0.11725208,0.0,False,False
846,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.14230804,0.14230804,0.0,False,False
851,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.45437744,0.45437744,0.0,False,False
852,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.14445123,0.14445123,0.0,False,False
856,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.43494815,0.43494815,0.0,False,False
864,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.05840593,0.05840593,0.0,False,False
869,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.15941362,0.15941362,0.0,False,False
871,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07832464,0.07832464,0.0,False,False
873,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.10046095,0.10046095,0.0,False,False
874,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.27534276,0.27534276,0.0,False,False
883,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.14728248,0.14728248,0.0,False,False
885,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.09045499,0.09045499,0.0,False,False
897,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.76899314,0.76899314,0.0,False,False
908,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.16574182,0.16574182,0.0,False,False
910,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.6995542,0.6995542,0.0,False,False
912,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07316296,0.07316296,0.0,False,False
918,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.14189936,0.14189936,0.0,False,False
920,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.23615274,0.23615274,0.0,False,False
931,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.072743915,0.072743915,0.0,False,False
932,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.362741,0.362741,0.0,False,False
943,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.80330586,0.80330586,0.0,False,False
960,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.4568672,0.4568672,0.0,False,False
969,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07636718,0.07636718,0.0,False,False
970,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.045578837,0.045578837,0.0,False,False
971,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.13562962,0.13562962,0.0,False,False
973,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07710048,0.07710048,0.0,False,False
977,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.106622264,0.106622264,0.0,False,False
982,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.02504958,0.02504958,0.0,False,False
985,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.11870151,0.11870151,0.0,False,False
987,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.40380123,0.40380123,0.0,False,False
989,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.4943335,0.4943335,0.0,False,False
990,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.20322697,0.20322697,0.0,False,False
996,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.20007859,0.20007859,0.0,False,False
999,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.6375803,0.6375803,0.0,False,False
1004,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.09864964,0.09864964,0.0,False,False
1009,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.12925525,0.12925525,0.0,False,False
1022,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.07425476,0.07425476,0.0,False,False
1024,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.09987702,0.09987702,0.0,False,False
1034,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.17232446,0.17232446,0.0,False,False
1035,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.47111702,0.47111702,0.0,False,False
1037,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.10827307,0.10827307,0.0,False,False
1038,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11802642,0.11802642,0.0,False,False
1046,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.20009679,0.20009679,0.0,False,False
1048,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.11455335,0.11455335,0.0,False,False
1049,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.22253795,0.22253795,0.0,False,False
1053,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.14801587,0.14801587,0.0,False,False
1056,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.28068352,0.28068352,0.0,False,False
1060,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.3048396,0.3048396,0.0,False,False
1071,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.10324785,0.10324785,0.0,False,False
1077,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.035138138,0.035138138,0.0,False,False
1078,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.27809647,0.27809647,0.0,False,False
1084,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.109514035,0.109514035,0.0,False,False
1087,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.35284573,0.35284573,0.0,False,False
1088,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.1930839,0.1930839,0.0,False,False
1089,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.0505616,0.0505616,0.0,False,False
1091,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.11129128,0.11129128,0.0,False,False
1093,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.43415684,0.43415684,0.0,False,False
1094,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.40362436,0.40362436,0.0,False,False
1095,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.05875991,0.05875991,0.0,False,False
1096,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.09917857,0.09917857,0.0,False,False
1101,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.40066248,0.40066248,0.0,False,False
1107,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.16696018,0.16696018,0.0,False,False
1109,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.3158993,0.3158993,0.0,False,False
1115,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.08559544,0.08559544,0.0,False,False
1125,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.23005922,0.23005922,0.0,False,False
1132,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.69860893,0.69860893,0.0,False,False
1137,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.12743308,0.12743308,0.0,False,False
1139,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06017108,0.06017108,0.0,False,False
1142,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.094670445,0.094670445,0.0,False,False
1147,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.28342158,0.28342158,0.0,False,False
1159,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.44157335,0.44157335,0.0,False,False
1166,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.058634296,0.058634296,0.0,False,False
1168,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.14532728,0.14532728,0.0,False,False
1172,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.06243529,0.06243529,0.0,False,False
1173,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.21150602,0.21150602,0.0,False,False
1181,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.7755959,0.7755959,0.0,False,False
1189,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.08773345,0.08773345,0.0,False,False
1192,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.12708311,0.12708311,0.0,False,False
1205,2,Female,Female (SEX=2),1,Male,Male (SEX=1),1,0.10153344,0.10153344,0.0,False,False
1209,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.1735504,0.1735504,0.0,False,False
1211,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.23102957,0.23102957,0.0,False,False
1215,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.049319692,0.049319692,0.0,False,False
1216,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.12032826,0.12032826,0.0,False,False
1217,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.08704467,0.08704467,0.0,False,False
1225,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.15936948,0.15936948,0.0,False,False
1233,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.28983808,0.28983808,0.0,False,False
1235,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.15763682,0.15763682,0.0,False,False
1242,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.164459,0.164459,0.0,False,False
1246,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.82622206,0.82622206,0.0,False,False
1259,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.60405546,0.60405546,0.0,False,False
1260,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.051213823,0.051213823,0.0,False,False
1270,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.1581383,0.1581383,0.0,False,False
1274,1,Male,Male (SEX=1),2,Female,Female (SEX=2),0,0.10283887,0.10283887,0.0,False,False
1275,1,Male,Male (SEX=1),2,Female,Female (SEX=2),1,0.2429452,0.2429452,0.0,False,False
1276,2,Female,Female (SEX=2),1,Male,Male (SEX=1),0,0.066093415,0.066093415,0.0,False,False
