applicant_position,sex_code,sex_group,group,nearest_other_group_position,nearest_other_sex_code,nearest_other_sex_group,nearest_other_group,feature_distance,original_probability,neighbour_probability,probability_difference,original_actual_default,neighbour_actual_default
54,1,Male,Male (SEX=1),5669,2,Female,Female (SEX=2),1.1140974502080156,0.12236109,0.14720424,0.02484314999999998,0,0
57,1,Male,Male (SEX=1),793,2,Female,Female (SEX=2),0.4941799020358189,0.14690676,0.11407289,0.03283387,0,0
59,1,Male,Male (SEX=1),5581,2,Female,Female (SEX=2),0.869371134033187,0.13512208,0.1668637,0.03174162,0,0
63,1,Male,Male (SEX=1),1320,2,Female,Female (SEX=2),1.5324739512833188,0.3709983,0.36321837,0.0077799299999999905,0,0
66,1,Male,Male (SEX=1),1172,2,Female,Female (SEX=2),0.2468785733957377,0.22151695,0.32227337,0.10075642000000001,0,1
72,1,Male,Male (SEX=1),668,2,Female,Female (SEX=2),0.9098501560908113,0.12552588,0.13869745,0.013171569999999994,1,0
77,1,Male,Male (SEX=1),2954,2,Female,Female (SEX=2),5.071036432513139,0.14775504,0.076790914,0.070964126,0,1
78,1,Male,Male (SEX=1),4690,2,Female,Female (SEX=2),2.0483198978371906,0.73430556,0.5617203,0.17258526000000007,0,0
80,1,Male,Male (SEX=1),1085,2,Female,Female (SEX=2),1.9433996278182684,0.54704916,0.3958779,0.15117126000000003,0,0
81,1,Male,Male (SEX=1),548,2,Female,Female (SEX=2),0.26544396400190057,0.3594037,0.40803194,0.04862823999999999,0,1
82,1,Male,Male (SEX=1),780,2,Female,Female (SEX=2),0.9080013035183362,0.08826878,0.082059056,0.006209724,1,0
84,1,Male,Male (SEX=1),4006,2,Female,Female (SEX=2),3.708450689113943,0.31388348,0.20686497,0.10701850999999998,1,0
87,1,Male,Male (SEX=1),4616,2,Female,Female (SEX=2),1.1182858063930619,0.09795348,0.041858587,0.05609489299999999,0,0
91,1,Male,Male (SEX=1),1184,2,Female,Female (SEX=2),1.5035335570995934,0.21597764,0.22178093,0.005803289999999989,0,1
94,1,Male,Male (SEX=1),2171,2,Female,Female (SEX=2),1.7366683288302922,0.03046325,0.074698694,0.044235444,0,0
98,1,Male,Male (SEX=1),1667,2,Female,Female (SEX=2),0.9165188473263303,0.15658934,0.13626905,0.02032028999999999,0,0
100,1,Male,Male (SEX=1),4439,2,Female,Female (SEX=2),0.7440222110027793,0.059577126,0.05747284,0.002104286000000004,0,0
101,1,Male,Male (SEX=1),3496,2,Female,Female (SEX=2),2.2687018912518373,0.32517177,0.43772385,0.11255208,0,1
103,1,Male,Male (SEX=1),243,2,Female,Female (SEX=2),0.3663881168970833,0.25458258,0.21150602,0.043076560000000014,0,0
108,1,Male,Male (SEX=1),3492,2,Female,Female (SEX=2),1.3408504433480897,0.46002847,0.50206184,0.04203336999999996,0,1
110,1,Male,Male (SEX=1),3114,2,Female,Female (SEX=2),1.2652756642981227,0.1351683,0.17368226,0.038513960000000014,0,0
116,1,Male,Male (SEX=1),4244,2,Female,Female (SEX=2),2.617266933242061,0.19689423,0.30142546,0.10453122999999997,0,0
117,1,Male,Male (SEX=1),1496,2,Female,Female (SEX=2),0.7304587383293266,0.26626986,0.2777046,0.011434739999999999,1,1
118,1,Male,Male (SEX=1),2825,2,Female,Female (SEX=2),2.760136917496753,0.14763345,0.27592593,0.12829248,1,0
119,1,Male,Male (SEX=1),2854,2,Female,Female (SEX=2),1.3439409457091043,0.15063761,0.23435469,0.08371708,0,0
121,1,Male,Male (SEX=1),5616,2,Female,Female (SEX=2),0.6290126742767773,0.18239877,0.20827714,0.02587837000000001,0,0
122,1,Male,Male (SEX=1),5478,2,Female,Female (SEX=2),0.9607932201536347,0.1442008,0.1227002,0.021500599999999995,0,0
124,1,Male,Male (SEX=1),606,2,Female,Female (SEX=2),1.5509095588920814,0.12416801,0.1960253,0.07185729000000002,0,0
126,1,Male,Male (SEX=1),3120,2,Female,Female (SEX=2),0.5239429724489015,0.049716283,0.051824506,0.0021082229999999993,0,0
128,1,Male,Male (SEX=1),3430,2,Female,Female (SEX=2),4.258262693822782,0.24308284,0.08687279,0.15621005,0,1
130,1,Male,Male (SEX=1),1756,2,Female,Female (SEX=2),1.7336947270870773,0.24139845,0.17733541,0.06406303999999999,0,0
131,1,Male,Male (SEX=1),5749,2,Female,Female (SEX=2),0.45924955325527483,0.085844904,0.0960943,0.010249395999999994,1,0
136,1,Male,Male (SEX=1),485,2,Female,Female (SEX=2),2.4928812228189052,0.8546631,0.8486091,0.006054000000000004,1,1
138,1,Male,Male (SEX=1),3757,2,Female,Female (SEX=2),0.8497543989113933,0.10788217,0.08897288,0.018909289999999995,0,0
139,1,Male,Male (SEX=1),3174,2,Female,Female (SEX=2),1.4233143775537918,0.3935023,0.3106046,0.08289770000000002,0,0
142,1,Male,Male (SEX=1),1759,2,Female,Female (SEX=2),0.7832311200683618,0.098875165,0.07221653,0.026658635,1,0
143,1,Male,Male (SEX=1),2162,2,Female,Female (SEX=2),1.3235570303464206,0.35632837,0.36246565,0.006137279999999967,0,1
147,1,Male,Male (SEX=1),1542,2,Female,Female (SEX=2),0.7233735162458523,0.1569837,0.18845062,0.03146692000000001,0,0
155,1,Male,Male (SEX=1),4282,2,Female,Female (SEX=2),1.083909242254717,0.2543779,0.25880894,0.004431039999999997,0,0
156,1,Male,Male (SEX=1),4650,2,Female,Female (SEX=2),2.4772701454351855,0.2770988,0.4566884,0.17958960000000002,0,0
158,1,Male,Male (SEX=1),342,2,Female,Female (SEX=2),0.5885498656744762,0.10610164,0.08474114,0.02136049999999999,0,0
163,1,Male,Male (SEX=1),5686,2,Female,Female (SEX=2),0.5160121010955894,0.091872305,0.09527016,0.003397855000000005,0,0
165,1,Male,Male (SEX=1),2133,2,Female,Female (SEX=2),0.6386998082023128,0.10905576,0.19788295,0.08882719,1,0
167,1,Male,Male (SEX=1),2421,2,Female,Female (SEX=2),1.2437027679500734,0.03269534,0.035790946,0.003095605999999994,0,0
171,1,Male,Male (SEX=1),55,2,Female,Female (SEX=2),1.5737901061490298,0.45437744,0.44780055,0.006576890000000002,0,0
172,1,Male,Male (SEX=1),5747,2,Female,Female (SEX=2),1.6982255271011966,0.14445123,0.17127034,0.02681910999999998,0,0
174,1,Male,Male (SEX=1),1354,2,Female,Female (SEX=2),0.28667740817064274,0.05840593,0.052131843,0.006274087000000005,0,0
177,1,Male,Male (SEX=1),476,2,Female,Female (SEX=2),0.7202498992897522,0.10046095,0.12201507,0.02155412000000001,0,0
179,1,Male,Male (SEX=1),2053,2,Female,Female (SEX=2),1.293931350257869,0.14728248,0.11536948,0.031913,0,0
182,1,Male,Male (SEX=1),4251,2,Female,Female (SEX=2),0.6981291195124659,0.16574182,0.19546492,0.029723099999999975,0,0
185,1,Male,Male (SEX=1),1529,2,Female,Female (SEX=2),4.640388642607986,0.14189936,0.16307887,0.021179509999999985,0,0
187,1,Male,Male (SEX=1),5086,2,Female,Female (SEX=2),4.158033637396135,0.072743915,0.03027469,0.042469225000000006,1,0
190,1,Male,Male (SEX=1),2377,2,Female,Female (SEX=2),2.5010784413886635,0.4568672,0.49235958,0.035492380000000046,1,0
192,1,Male,Male (SEX=1),3036,2,Female,Female (SEX=2),2.0587563553117487,0.045578837,0.06750047,0.02192163300000001,1,0
195,1,Male,Male (SEX=1),2664,2,Female,Female (SEX=2),38.078585752213975,0.106622264,0.084716894,0.021905369999999993,0,0
196,1,Male,Male (SEX=1),5466,2,Female,Female (SEX=2),3.757319178225164,0.02504958,0.046762627,0.021713047000000003,1,0
197,1,Male,Male (SEX=1),1032,2,Female,Female (SEX=2),2.3085960999860493,0.11870151,0.12999836,0.011296850000000011,1,0
198,1,Male,Male (SEX=1),5246,2,Female,Female (SEX=2),0.958096975944945,0.40380123,0.11737099,0.28643024,0,0
199,1,Male,Male (SEX=1),5254,2,Female,Female (SEX=2),1.5588000130153097,0.4943335,0.46338004,0.030953459999999988,0,0
201,1,Male,Male (SEX=1),3031,2,Female,Female (SEX=2),2.384248771354023,0.20007859,0.17408875,0.025989840000000014,0,1
202,1,Male,Male (SEX=1),3192,2,Female,Female (SEX=2),1.6947875207645309,0.6375803,0.65433115,0.016750849999999984,0,0
206,1,Male,Male (SEX=1),5688,2,Female,Female (SEX=2),0.5937500489329012,0.09987702,0.18479459,0.08491757000000001,0,0
208,1,Male,Male (SEX=1),1045,2,Female,Female (SEX=2),1.3013354919738942,0.47111702,0.48122817,0.010111150000000013,1,1
209,1,Male,Male (SEX=1),4569,2,Female,Female (SEX=2),1.437639186310094,0.10827307,0.09127275,0.01700032,1,1
211,1,Male,Male (SEX=1),4369,2,Female,Female (SEX=2),2.8471111584423254,0.20009679,0.09536162,0.10473517,1,0
213,1,Male,Male (SEX=1),2714,2,Female,Female (SEX=2),2.0847903301120727,0.22253795,0.33547905,0.11294109999999999,0,0
214,1,Male,Male (SEX=1),2938,2,Female,Female (SEX=2),0.6917878400682982,0.14801587,0.13878714,0.00922872999999999,0,0
218,1,Male,Male (SEX=1),2583,2,Female,Female (SEX=2),3.6665423706072313,0.035138138,0.026855405,0.008282733,0,0
224,1,Male,Male (SEX=1),5535,2,Female,Female (SEX=2),1.1652641402536217,0.11129128,0.067968555,0.043322725000000006,0,0
225,1,Male,Male (SEX=1),805,2,Female,Female (SEX=2),0.21511297067204277,0.43415684,0.43415684,0.0,1,1
226,1,Male,Male (SEX=1),1726,2,Female,Female (SEX=2),2.204658507193319,0.40362436,0.30531073,0.09831363000000004,0,1
227,1,Male,Male (SEX=1),4523,2,Female,Female (SEX=2),3.135680332450168,0.05875991,0.07115268,0.012392769999999997,0,0
228,1,Male,Male (SEX=1),819,2,Female,Female (SEX=2),1.7277613123788094,0.09917857,0.09557885,0.003599719999999987,0,0
232,1,Male,Male (SEX=1),3702,2,Female,Female (SEX=2),2.090565980862022,0.08559544,0.15087408,0.06527864,0,0
233,1,Male,Male (SEX=1),934,2,Female,Female (SEX=2),0.5818355478035796,0.23005922,0.10269735,0.12736187,0,0
234,1,Male,Male (SEX=1),5758,2,Female,Female (SEX=2),4.82690132865533,0.69860893,0.79535276,0.09674382999999998,0,1
235,1,Male,Male (SEX=1),5633,2,Female,Female (SEX=2),0.7028448818720995,0.12743308,0.05801413,0.06941895000000001,0,0
238,1,Male,Male (SEX=1),2621,2,Female,Female (SEX=2),2.673186746384725,0.28342158,0.2033532,0.08006838,0,0
239,1,Male,Male (SEX=1),3162,2,Female,Female (SEX=2),1.3005685583182451,0.44157335,0.41464925,0.02692409999999995,0,0
240,1,Male,Male (SEX=1),3278,2,Female,Female (SEX=2),1.5526492667850786,0.058634296,0.05832769,0.00030660600000000093,0,0
248,1,Male,Male (SEX=1),4281,2,Female,Female (SEX=2),2.7493108701945093,0.1735504,0.11903106,0.05451934,1,0
250,1,Male,Male (SEX=1),2215,2,Female,Female (SEX=2),1.070856928328156,0.049319692,0.05770137,0.008381678000000004,0,1
251,1,Male,Male (SEX=1),4556,2,Female,Female (SEX=2),3.405720755695372,0.12032826,0.038717505,0.08161075500000001,0,0
253,1,Male,Male (SEX=1),5534,2,Female,Female (SEX=2),1.3686259708832371,0.15936948,0.121689156,0.037680324,1,0
255,1,Male,Male (SEX=1),4573,2,Female,Female (SEX=2),1.9315232145042667,0.15763682,0.17884506,0.02120823999999999,1,0
257,1,Male,Male (SEX=1),3812,2,Female,Female (SEX=2),2.9362027787489393,0.82622206,0.8184169,0.007805159999999978,1,1
258,1,Male,Male (SEX=1),1726,2,Female,Female (SEX=2),2.037391744338268,0.60405546,0.30531073,0.29874473,0,1
259,1,Male,Male (SEX=1),4616,2,Female,Female (SEX=2),0.33534154514179226,0.051213823,0.041858587,0.009355235999999996,0,0
261,1,Male,Male (SEX=1),3803,2,Female,Female (SEX=2),0.6774154060537365,0.10283887,0.09176972,0.01106915,0,0
262,1,Male,Male (SEX=1),64,2,Female,Female (SEX=2),0.41642741862228194,0.2429452,0.25155914,0.008613940000000014,1,0
264,1,Male,Male (SEX=1),1386,2,Female,Female (SEX=2),0.5092643901103497,0.083863586,0.25714418,0.173280594,0,0
268,1,Male,Male (SEX=1),438,2,Female,Female (SEX=2),2.427295612262463,0.14943981,0.19963028,0.05019046999999999,0,1
272,1,Male,Male (SEX=1),1245,2,Female,Female (SEX=2),0.21511297067204277,0.32158995,0.32158995,0.0,0,0
273,1,Male,Male (SEX=1),1226,2,Female,Female (SEX=2),0.6107813758232472,0.16970474,0.15504956,0.01465517999999999,0,0
281,1,Male,Male (SEX=1),3977,2,Female,Female (SEX=2),2.7187173707389496,0.049964964,0.039436027,0.010528937000000002,0,0
285,1,Male,Male (SEX=1),3794,2,Female,Female (SEX=2),0.7678043472467281,0.6777735,0.6740563,0.003717199999999976,0,1
287,1,Male,Male (SEX=1),1672,2,Female,Female (SEX=2),2.798787228444069,0.10744152,0.10528674,0.002154779999999995,0,0
290,1,Male,Male (SEX=1),958,2,Female,Female (SEX=2),1.964154410029894,0.0920389,0.056222834,0.03581606600000001,0,0
291,1,Male,Male (SEX=1),5166,2,Female,Female (SEX=2),0.9879340819441507,0.11928864,0.114382654,0.004905986000000001,0,0
292,1,Male,Male (SEX=1),1943,2,Female,Female (SEX=2),0.8234297104280063,0.08188235,0.07665226,0.005230090000000007,0,0
295,1,Male,Male (SEX=1),1963,2,Female,Female (SEX=2),0.5850153894076345,0.30240223,0.32029957,0.017897339999999984,1,1
296,1,Male,Male (SEX=1),5664,2,Female,Female (SEX=2),2.2070042620580472,0.092141464,0.21986583,0.127724366,0,0
298,1,Male,Male (SEX=1),3431,2,Female,Female (SEX=2),0.8129709264708961,0.21866359,0.16335937,0.05530421999999999,0,0
303,1,Male,Male (SEX=1),934,2,Female,Female (SEX=2),0.9756599310722346,0.20205797,0.10269735,0.09936062,0,0
305,1,Male,Male (SEX=1),2975,2,Female,Female (SEX=2),0.8080533117062697,0.10219201,0.1552459,0.05305388999999999,0,1
306,1,Male,Male (SEX=1),1609,2,Female,Female (SEX=2),1.1506917151140845,0.029523922,0.03261094,0.003087017999999997,0,0
310,1,Male,Male (SEX=1),3714,2,Female,Female (SEX=2),3.88966781454082,0.33089077,0.12750563,0.20338514,0,0
311,1,Male,Male (SEX=1),189,2,Female,Female (SEX=2),2.998925901385424,0.8197099,0.80330586,0.016404039999999953,0,1
313,1,Male,Male (SEX=1),4413,2,Female,Female (SEX=2),0.3181597431533611,0.08433532,0.067195326,0.017139994000000006,0,0
314,1,Male,Male (SEX=1),3915,2,Female,Female (SEX=2),0.3508712574125522,0.102682896,0.10632403,0.003641134000000004,0,0
316,1,Male,Male (SEX=1),5534,2,Female,Female (SEX=2),1.351494455913133,0.16036893,0.121689156,0.038679773999999986,0,0
319,1,Male,Male (SEX=1),2680,2,Female,Female (SEX=2),0.5839109029376176,0.18775108,0.18881632,0.0010652400000000228,0,0
324,1,Male,Male (SEX=1),692,2,Female,Female (SEX=2),1.1124679964298456,0.06659608,0.071828395,0.005232315000000001,0,0
328,1,Male,Male (SEX=1),4603,2,Female,Female (SEX=2),3.0212867657170985,0.19371095,0.062087342,0.131623608,0,0
333,1,Male,Male (SEX=1),140,2,Female,Female (SEX=2),1.5029276989579181,0.12837772,0.103769176,0.024608543999999996,0,0
334,1,Male,Male (SEX=1),115,2,Female,Female (SEX=2),1.0246530151275064,0.1600226,0.15472378,0.005298819999999982,0,0
337,1,Male,Male (SEX=1),3265,2,Female,Female (SEX=2),1.2183485250796902,0.15833603,0.17518,0.016843970000000014,0,0
338,1,Male,Male (SEX=1),892,2,Female,Female (SEX=2),1.0188904001799013,0.15901043,0.18273193,0.02372149999999998,0,0
339,1,Male,Male (SEX=1),1304,2,Female,Female (SEX=2),1.010317002091062,0.073024705,0.073004134,2.057099999999701e-05,0,0
340,1,Male,Male (SEX=1),4362,2,Female,Female (SEX=2),3.90588676599719,0.11514692,0.15988512,0.04473819999999999,1,0
341,1,Male,Male (SEX=1),4625,2,Female,Female (SEX=2),3.848373703040814,0.28549227,0.29023942,0.004747150000000033,0,1
343,1,Male,Male (SEX=1),5783,2,Female,Female (SEX=2),2.610826425329236,0.40967426,0.4554884,0.04581414,1,1
345,1,Male,Male (SEX=1),5008,2,Female,Female (SEX=2),3.223392132191261,0.40676203,0.3466807,0.06008132999999999,1,1
346,1,Male,Male (SEX=1),3509,2,Female,Female (SEX=2),1.6038884899105499,0.81879205,0.76701045,0.05178159999999998,0,1
350,1,Male,Male (SEX=1),1040,2,Female,Female (SEX=2),3.3299424465426632,0.38729712,0.109281465,0.27801565500000003,0,1
351,1,Male,Male (SEX=1),1330,2,Female,Female (SEX=2),2.4835578856137763,0.14941818,0.30117923,0.15176105,0,0
353,1,Male,Male (SEX=1),2750,2,Female,Female (SEX=2),1.1684599072927138,0.19065407,0.14964585,0.04100822000000001,0,0
356,1,Male,Male (SEX=1),1245,2,Female,Female (SEX=2),0.5377824266801151,0.31793326,0.32158995,0.003656690000000018,0,0
357,1,Male,Male (SEX=1),3376,2,Female,Female (SEX=2),0.7546372414428031,0.10152358,0.09634297,0.005180610000000002,0,0
358,1,Male,Male (SEX=1),3049,2,Female,Female (SEX=2),2.1820416256943083,0.78720534,0.30300006,0.48420527999999996,1,0
359,1,Male,Male (SEX=1),1404,2,Female,Female (SEX=2),1.8746904802129662,0.106087826,0.15027118,0.04418335400000001,0,0
362,1,Male,Male (SEX=1),4689,2,Female,Female (SEX=2),0.45721301144940923,0.4088823,0.33736587,0.07151642999999996,0,1
367,1,Male,Male (SEX=1),2343,2,Female,Female (SEX=2),2.2801213049157307,0.18070053,0.17362642,0.007074109999999995,1,0
371,1,Male,Male (SEX=1),4281,2,Female,Female (SEX=2),4.476161216113757,0.1517502,0.11903106,0.03271914000000001,1,0
372,1,Male,Male (SEX=1),3865,2,Female,Female (SEX=2),0.3195433100139112,0.23291907,0.2861001,0.05318103000000002,0,1
375,1,Male,Male (SEX=1),4657,2,Female,Female (SEX=2),6.072187847621172,0.4068116,0.46643487,0.059623270000000006,1,0
376,1,Male,Male (SEX=1),1304,2,Female,Female (SEX=2),0.958380155227334,0.07321634,0.073004134,0.00021220600000000645,0,0
379,1,Male,Male (SEX=1),2158,2,Female,Female (SEX=2),0.7231557899758592,0.25424522,0.15187784,0.10236738000000001,0,0
381,1,Male,Male (SEX=1),2188,2,Female,Female (SEX=2),0.8472970648864431,0.097997226,0.07314741,0.02484981600000001,0,0
382,1,Male,Male (SEX=1),5072,2,Female,Female (SEX=2),1.1882543923198214,0.043479737,0.0559074,0.012427663000000005,0,0
383,1,Male,Male (SEX=1),2484,2,Female,Female (SEX=2),1.0919049254829454,0.07751336,0.05301656,0.024496800000000006,0,0
387,1,Male,Male (SEX=1),2696,2,Female,Female (SEX=2),2.7857450671496964,0.18051629,0.28166312,0.10114683,0,0
388,1,Male,Male (SEX=1),2735,2,Female,Female (SEX=2),0.7665257154045735,0.047706,0.060617708,0.012911708000000001,0,0
389,1,Male,Male (SEX=1),4385,2,Female,Female (SEX=2),1.6727390001383493,0.124331474,0.12790678,0.0035753060000000003,0,0
390,1,Male,Male (SEX=1),3287,2,Female,Female (SEX=2),3.3941957763457395,0.108352914,0.093871616,0.01448129799999999,0,0
391,1,Male,Male (SEX=1),2157,2,Female,Female (SEX=2),0.4481776537661146,0.33964473,0.3426879,0.003043169999999984,1,0
392,1,Male,Male (SEX=1),5472,2,Female,Female (SEX=2),1.5689220778618207,0.73306817,0.71498156,0.018086610000000003,0,1
393,1,Male,Male (SEX=1),5234,2,Female,Female (SEX=2),2.4550828711957804,0.65868646,0.105257146,0.553429314,1,0
394,1,Male,Male (SEX=1),1102,2,Female,Female (SEX=2),1.9385990873391796,0.270966,0.23081924,0.040146759999999976,0,0
403,1,Male,Male (SEX=1),892,2,Female,Female (SEX=2),1.17287720956763,0.18709226,0.18273193,0.004360330000000023,0,0
404,1,Male,Male (SEX=1),4505,2,Female,Female (SEX=2),1.5925642291588913,0.26704028,0.6901496,0.42310932,1,1
406,1,Male,Male (SEX=1),2432,2,Female,Female (SEX=2),1.858932091364919,0.1476622,0.088195086,0.05946711399999999,0,0
407,1,Male,Male (SEX=1),1963,2,Female,Female (SEX=2),0.33561946598022807,0.29311323,0.32029957,0.027186339999999976,0,1
408,1,Male,Male (SEX=1),384,2,Female,Female (SEX=2),1.374970180310835,0.5020472,0.86449033,0.36244312999999995,0,1
412,1,Male,Male (SEX=1),1515,2,Female,Female (SEX=2),0.22873634848834762,0.32702473,0.3233357,0.003689029999999982,0,1
414,1,Male,Male (SEX=1),5033,2,Female,Female (SEX=2),1.5169499480732702,0.3357038,0.36156777,0.025863970000000014,0,0
415,1,Male,Male (SEX=1),930,2,Female,Female (SEX=2),0.7716935403138291,0.16364388,0.12426672,0.039377159999999994,0,0
417,1,Male,Male (SEX=1),1986,2,Female,Female (SEX=2),0.6772130929273911,0.05187726,0.060045693,0.008168432999999996,0,0
420,1,Male,Male (SEX=1),5268,2,Female,Female (SEX=2),1.7715421880953044,0.3762699,0.37654757,0.00027767000000000763,1,0
422,1,Male,Male (SEX=1),980,2,Female,Female (SEX=2),1.0268469211503541,0.17986444,0.13326184,0.046602599999999994,0,0
424,1,Male,Male (SEX=1),112,2,Female,Female (SEX=2),2.0413841642596537,0.09822848,0.07402892,0.02419956000000001,0,0
425,1,Male,Male (SEX=1),4249,2,Female,Female (SEX=2),0.4760463368468284,0.102596134,0.12219465,0.019598515999999996,0,0
428,1,Male,Male (SEX=1),4707,2,Female,Female (SEX=2),0.15552140648058152,0.34001195,0.34097138,0.0009594299999999834,0,1
429,1,Male,Male (SEX=1),2397,2,Female,Female (SEX=2),2.875563440022292,0.7899802,0.85937214,0.06939193999999993,1,1
431,1,Male,Male (SEX=1),5198,2,Female,Female (SEX=2),0.5688657927898717,0.06965116,0.083240144,0.013588983999999998,0,0
432,1,Male,Male (SEX=1),40,2,Female,Female (SEX=2),1.2941688462581213,0.12897435,0.11107045,0.017903899999999986,0,0
434,1,Male,Male (SEX=1),3844,2,Female,Female (SEX=2),1.3928177467906044,0.108470075,0.08164527,0.026824804999999993,0,0
435,1,Male,Male (SEX=1),1564,2,Female,Female (SEX=2),4.455283128109041,0.10160463,0.19309275,0.09148812,1,0
436,1,Male,Male (SEX=1),1184,2,Female,Female (SEX=2),1.9139024227437629,0.22320561,0.22178093,0.0014246800000000115,0,1
439,1,Male,Male (SEX=1),56,2,Female,Female (SEX=2),3.8666201763866717,0.06601839,0.047346577,0.018671812999999995,0,0
440,1,Male,Male (SEX=1),4548,2,Female,Female (SEX=2),1.8201918228823082,0.22234997,0.21878758,0.0035623899999999986,0,1
443,1,Male,Male (SEX=1),1546,2,Female,Female (SEX=2),2.9510140991761618,0.15191373,0.21689703,0.0649833,1,1
448,1,Male,Male (SEX=1),1357,2,Female,Female (SEX=2),0.857655342046805,0.08173661,0.07962498,0.0021116300000000032,0,0
449,1,Male,Male (SEX=1),5697,2,Female,Female (SEX=2),2.7979689490866155,0.3839717,0.3996584,0.015686699999999998,1,0
452,1,Male,Male (SEX=1),4573,2,Female,Female (SEX=2),1.4297467746195345,0.2083399,0.17884506,0.029494839999999994,0,0
458,1,Male,Male (SEX=1),5497,2,Female,Female (SEX=2),1.5850834794286428,0.1292749,0.13148874,0.0022138399999999947,0,0
460,1,Male,Male (SEX=1),2066,2,Female,Female (SEX=2),1.2207422311858738,0.13068815,0.10462223,0.026065920000000006,1,0
461,1,Male,Male (SEX=1),2008,2,Female,Female (SEX=2),3.3788842840213165,0.45773903,0.47880566,0.02106663000000003,0,0
466,1,Male,Male (SEX=1),1051,2,Female,Female (SEX=2),0.9617978149132256,0.1639463,0.14841394,0.015532359999999995,0,0
468,1,Male,Male (SEX=1),3215,2,Female,Female (SEX=2),2.5666241483555905,0.14584701,0.052597623,0.09324938699999999,0,0
474,1,Male,Male (SEX=1),2463,2,Female,Female (SEX=2),3.9173543840742653,0.09394197,0.08585377,0.008088200000000004,0,0
477,1,Male,Male (SEX=1),1412,2,Female,Female (SEX=2),0.6515401186731903,0.07807553,0.12577704,0.04770151,0,0
478,1,Male,Male (SEX=1),3773,2,Female,Female (SEX=2),1.2219016195461645,0.7480401,0.7197898,0.02825029999999995,1,0
479,1,Male,Male (SEX=1),1126,2,Female,Female (SEX=2),2.1515476386709387,0.055919226,0.057550136,0.0016309099999999993,0,0
481,1,Male,Male (SEX=1),2633,2,Female,Female (SEX=2),1.4804181380505514,0.7351157,0.7154149,0.019700800000000074,1,1
486,1,Male,Male (SEX=1),3196,2,Female,Female (SEX=2),1.7393973709379973,0.33425766,0.17658359,0.15767407,0,0
